GO_id_or_uniprot_term	Description	OurLocalization	UniquePriorityNumber	SpatialRelation
autophagosome membrane	autophagosome membrane	Autophagosome	7800	IN Cytoplasm
Preautophagosomal structure	Preautophagosomal structure	Autophagosome	7800	IN Cytoplasm
Preautophagosomal structure membrane	Preautophagosomal structure membrane	Autophagosome	7800	IN Cytoplasm
GO:0005774	vacuolar membrane	Vacuole MEMBRANE	7561	IN Cytoplasm
Prevacuolar compartment membrane	Prevacuolar compartment membrane	Vacuole MEMBRANE	7561	IN Cytoplasm
Protein storage vacuole membrane	Protein storage vacuole membrane	Vacuole MEMBRANE	7561	IN Cytoplasm
Vacuole membrane	Vacuole membrane	Vacuole MEMBRANE	7561	IN Cytoplasm
GO:0044437	vacuolar part	Vacuole	7560	IN Cytoplasm
GO:0005775	vacuolar lumen	Vacuole	7560	IN Cytoplasm
GO:0005773	vacuole	Vacuole	7560	IN Cytoplasm
GO:0000323	lytic vacuole	Vacuole	7560	IN Cytoplasm
GO:0000221	hydrogen ion transporting ATPase V1 domain	Vacuole	7560	IN Cytoplasm
GO:0016471	hydrogen-translocating V-type ATPase complex	Vacuole	7560	IN Cytoplasm
Prevacuolar compartment	Prevacuolar compartment	Vacuole	7560	IN Cytoplasm
Protein storage vacuole	Protein storage vacuole	Vacuole	7560	IN Cytoplasm
Vacuole	Vacuole	Vacuole	7560	IN Cytoplasm
Vacuole lumen	Vacuole lumen	Vacuole	7560	IN Cytoplasm
GO:0005765	lysosomal membrane	Lysosome MEMBRANE	7551	IN Cytoplasm
Lysosome membrane	Lysosome membrane	Lysosome MEMBRANE	7551	IN Cytoplasm
GO:0005764	lysosome	Lysosome	7550	IN Cytoplasm
Lysosome	Lysosome	Lysosome	7550	IN Cytoplasm
Lysosome lumen	Lysosome lumen	Lysosome	7550	IN Cytoplasm
GO:0030128	clathrin coat of endocytic vesicle	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0030129	clathrin coat of synaptic vesicle	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0045334	clathrin-coated endocytic vesicle	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0030136	clathrin-coated vesicle	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0030125	clathrin vesicle coat	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0030662	coated vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0030126	COPI vesicle coat	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0030127	COPII vesicle coat	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0030659	cytoplasmic vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0030660	Golgi-associated vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0030285	integral to synaptic vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0030670	phagocytic vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0012510	trans-Golgi network transport vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0012506	vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0030672	synaptic vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
clathrin- coated vesicle	clathrin- coated vesicle	Vesicle MEMBRANE	7541	IN Cytoplasm
clathrin- coated vesicle membrane	clathrin- coated vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
clathrin-coated vesicle membrane	clathrin-coated vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
cvt vesicle membrane	cvt vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
Cytoplasmic vesicle membrane	Cytoplasmic vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
phagosome membrane	phagosome membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
secretory vesicle membrane	secretory vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
synaptic vesicle membrane	synaptic vesicle membrane	Vesicle MEMBRANE	7541	IN Cytoplasm
GO:0044433	cytoplasmic vesicle part	Vesicle	7540	IN Cytoplasm
GO:0070382	exocytic vesicle	Vesicle	7540	IN Cytoplasm
GO:0030137	COPI-coated vesicle	Vesicle	7540	IN Cytoplasm
GO:0016023	cytoplasmic membrane-bound vesicle	Vesicle	7540	IN Cytoplasm
GO:0031410	cytoplasmic vesicle	Vesicle	7540	IN Cytoplasm
GO:0030139	endocytic vesicle	Vesicle	7540	IN Cytoplasm
GO:0030134	ER to Golgi transport vesicle	Vesicle	7540	IN Cytoplasm
GO:0042585	germinal vesicle	Vesicle	7540	IN Cytoplasm
GO:0005798	Golgi-associated vesicle	Vesicle	7540	IN Cytoplasm
GO:0045335	phagocytic vesicle	Vesicle	7540	IN Cytoplasm
GO:0030140	trans-Golgi network transport vesicle	Vesicle	7540	IN Cytoplasm
GO:0030133	transport vesicle	Vesicle	7540	IN Cytoplasm
GO:0031982	vesicle	Vesicle	7540	IN Cytoplasm
GO:0042598	vesicular fraction	Vesicle	7540	IN Cytoplasm
GO:0005771	multivesicular body	Vesicle	7540	IN Cytoplasm
GO:0008021	synaptic vesicle	Vesicle	7540	IN Cytoplasm
clathrin-coated vesicle	clathrin-coated vesicle	Vesicle	7540	IN Cytoplasm
Cytoplasmic vesicle	Cytoplasmic vesicle	Vesicle	7540	IN Cytoplasm
Cytoplasmic vesicle lumen	Cytoplasmic vesicle lumen	Vesicle	7540	IN Cytoplasm
phagosome	phagosome	Vesicle	7540	IN Cytoplasm
secretory vesicle	secretory vesicle	Vesicle	7540	IN Cytoplasm
secretory vesicle lumen	secretory vesicle lumen	Vesicle	7540	IN Cytoplasm
synaptic vesicle	synaptic vesicle	Vesicle	7540	IN Cytoplasm
GO:0032580	Golgi cisterna membrane	Golgi MEMBRANE	7531	IN Cytoplasm
GO:0000139	Golgi membrane	Golgi MEMBRANE	7531	IN Cytoplasm
GO:0030173	integral to Golgi membrane	Golgi MEMBRANE	7531	IN Cytoplasm
GO:0031228	intrinsic to Golgi membrane	Golgi MEMBRANE	7531	IN Cytoplasm
cis- Golgi network membrane	cis- Golgi network membrane	Golgi MEMBRANE	7531	IN Cytoplasm
cis-Golgi network membrane	cis-Golgi network membrane	Golgi MEMBRANE	7531	IN Cytoplasm
Golgi apparatus membrane	Golgi apparatus membrane	Golgi MEMBRANE	7531	IN Cytoplasm
Golgi stack membrane	Golgi stack membrane	Golgi MEMBRANE	7531	IN Cytoplasm
trans- Golgi network membrane	trans- Golgi network membrane	Golgi MEMBRANE	7531	IN Cytoplasm
trans-Golgi network membrane	trans-Golgi network membrane	Golgi MEMBRANE	7531	IN Cytoplasm
GO:0044431	Golgi apparatus part	Golgi	7530	IN Cytoplasm
GO:0005794	Golgi apparatus	Golgi	7530	IN Cytoplasm
GO:0000137	Golgi cis cisterna	Golgi	7530	IN Cytoplasm
GO:0005801	Golgi cis face	Golgi	7530	IN Cytoplasm
GO:0031985	Golgi cisterna	Golgi	7530	IN Cytoplasm
GO:0005796	Golgi lumen	Golgi	7530	IN Cytoplasm
GO:0005797	Golgi medial cisterna	Golgi	7530	IN Cytoplasm
GO:0005795	Golgi stack	Golgi	7530	IN Cytoplasm
GO:0000138	Golgi trans cisterna	Golgi	7530	IN Cytoplasm
GO:0005802	Golgi trans face	Golgi	7530	IN Cytoplasm
GO:0030121	AP-1 adaptor complex	Golgi	7530	IN Cytoplasm
GO:0017119	Golgi transport complex	Golgi	7530	IN Cytoplasm
GO:0031501	mannosyltransferase complex	Golgi	7530	IN Cytoplasm
GO:0030130	clathrin coat of trans-Golgi network vesicle	Golgi	7530	IN Cytoplasm
cis- Golgi network	cis- Golgi network	Golgi	7530	IN Cytoplasm
cis-Golgi network	cis-Golgi network	Golgi	7530	IN Cytoplasm
Golgi apparatus	Golgi apparatus	Golgi	7530	IN Cytoplasm
Golgi apparatus lumen	Golgi apparatus lumen	Golgi	7530	IN Cytoplasm
Golgi stack	Golgi stack	Golgi	7530	IN Cytoplasm
trans- Golgi network	trans- Golgi network	Golgi	7530	IN Cytoplasm
trans-Golgi network	trans-Golgi network	Golgi	7530	IN Cytoplasm
GO:0010008	endosome membrane	Endosome MEMBRANE	7521	IN Cytoplasm
Early endosome membrane	Early endosome membrane	Endosome MEMBRANE	7521	IN Cytoplasm
Endosome membrane	Endosome membrane	Endosome MEMBRANE	7521	IN Cytoplasm
Late endosome membrane	Late endosome membrane	Endosome MEMBRANE	7521	IN Cytoplasm
multivesicular body membrane	multivesicular body membrane	Endosome MEMBRANE	7521	IN Cytoplasm
Recycling endosome membrane	Recycling endosome membrane	Endosome MEMBRANE	7521	IN Cytoplasm
GO:0044440	endosomal part	Endosome	7520	IN Cytoplasm
GO:0005769	early endosome	Endosome	7520	IN Cytoplasm
GO:0005768	endosome	Endosome	7520	IN Cytoplasm
GO:0005770	late endosome	Endosome	7520	IN Cytoplasm
Early endosome	Early endosome	Endosome	7520	IN Cytoplasm
Endosome	Endosome	Endosome	7520	IN Cytoplasm
Endosome lumen	Endosome lumen	Endosome	7520	IN Cytoplasm
Late endosome	Late endosome	Endosome	7520	IN Cytoplasm
multivesicular body	multivesicular body	Endosome	7520	IN Cytoplasm
Recycling endosome	Recycling endosome	Endosome	7520	IN Cytoplasm
GO:0030867	rough endoplasmic reticulum membrane	Endoplasmic reticulum MEMBRANE	7511	IN Cytoplasm
GO:0005789	endoplasmic reticulum membrane	Endoplasmic reticulum MEMBRANE	7511	IN Cytoplasm
GO:0030176	integral to endoplasmic reticulum membrane	Endoplasmic reticulum MEMBRANE	7511	IN Cytoplasm
GO:0031227	intrinsic to endoplasmic reticulum membrane	Endoplasmic reticulum MEMBRANE	7511	IN Cytoplasm
Endoplasmic reticulum membrane	Endoplasmic reticulum membrane	Endoplasmic reticulum MEMBRANE	7511	IN Cytoplasm
Endoplasmic reticulum-Golgi intermediate compartment membrane	Endoplasmic reticulum-Golgi intermediate compartment membrane	Endoplasmic reticulum MEMBRANE	7511	IN Cytoplasm
Rough endoplasmic reticulum membrane	Rough endoplasmic reticulum membrane	Endoplasmic reticulum MEMBRANE	7511	IN Cytoplasm
Smooth endoplasmic reticulum membrane	Smooth endoplasmic reticulum membrane	Endoplasmic reticulum MEMBRANE	7511	IN Cytoplasm
GO:0044432	endoplasmic reticulum part	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0005783	endoplasmic reticulum	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0005788	endoplasmic reticulum lumen	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0005791	rough endoplasmic reticulum	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0005790	smooth endoplasmic reticulum	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0030868	smooth endoplasmic reticulum membrane	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0017177	alpha-glucosidase II complex	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0042765	GPI-anchor transamidase complex	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0042824	MHC class I peptide loading complex	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0008250	oligosaccharyl transferase complex	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0005787	signal peptidase complex	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0005785	signal recognition particle receptor complex	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0042825	TAP complex	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0005784	translocon complex	Endoplasmic reticulum	7510	IN Cytoplasm
Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum	7510	IN Cytoplasm
Endoplasmic reticulum- Golgi intermediate compartment	Endoplasmic reticulum- Golgi intermediate compartment	Endoplasmic reticulum	7510	IN Cytoplasm
Endoplasmic reticulum- Golgi intermediate compartment membrane	Endoplasmic reticulum- Golgi intermediate compartment membrane	Endoplasmic reticulum	7510	IN Cytoplasm
Endoplasmic reticulum lumen	Endoplasmic reticulum lumen	Endoplasmic reticulum	7510	IN Cytoplasm
Endoplasmic reticulum-Golgi intermediate compartment	Endoplasmic reticulum-Golgi intermediate compartment	Endoplasmic reticulum	7510	IN Cytoplasm
Microsome	Microsome	Endoplasmic reticulum	7510	IN Cytoplasm
Microsome membrane	Microsome membrane	Endoplasmic reticulum	7510	IN Cytoplasm
Rough endoplasmic reticulum	Rough endoplasmic reticulum	Endoplasmic reticulum	7510	IN Cytoplasm
GO:0005779	integral to peroxisomal membrane	Peroxisome MEMBRANE	7451	IN Cytoplasm
GO:0031231	intrinsic to peroxisomal membrane	Peroxisome MEMBRANE	7451	IN Cytoplasm
GO:0005778	peroxisomal membrane	Peroxisome MEMBRANE	7451	IN Cytoplasm
Peroxisome membrane	Peroxisome membrane	Peroxisome MEMBRANE	7451	IN Cytoplasm
GO:0044439	peroxisomal part	Peroxisome	7450	IN Cytoplasm
GO:0005782	peroxisomal matrix	Peroxisome	7450	IN Cytoplasm
GO:0005777	peroxisome	Peroxisome	7450	IN Cytoplasm
Peroxisome	Peroxisome	Peroxisome	7450	IN Cytoplasm
Peroxisome matrix	Peroxisome matrix	Peroxisome	7450	IN Cytoplasm
GO:0005901	caveola	Caveolae	6900	UNDER Membrane
GO:0016599	caveolar membrane	Caveolae	6900	UNDER Membrane
GO:0002095	caveolar macromolecular signaling complex	Caveolae	6900	UNDER Membrane
caveola	caveola	Caveolae	6900	UNDER Membrane
GO:0005921	gap junction	Cell junction	6500	ACROSS Membrane
gap junction	gap junction	Cell junction	6500	ACROSS Membrane
GO:0043296	apical junction complex	Cell junction	6500	ACROSS Membrane
GO:0070161	anchoring junction	Cell junction	6500	ACROSS Membrane
GO:0005912	adherens junction	Cell junction	6500	ACROSS Membrane
GO:0030054	cell junction	Cell junction	6500	ACROSS Membrane
GO:0005913	cell-cell adherens junction	Cell junction	6500	ACROSS Membrane
GO:0030055	cell-matrix junction	Cell junction	6500	ACROSS Membrane
GO:0005924	cell-substrate adherens junction	Cell junction	6500	ACROSS Membrane
GO:0030057	desmosome	Cell junction	6500	ACROSS Membrane
GO:0005916	fascia adherens	Cell junction	6500	ACROSS Membrane
GO:0030056	hemidesmosome	Cell junction	6500	ACROSS Membrane
GO:0001772	immunological synapse	Cell junction	6500	ACROSS Membrane
GO:0005911	intercellular junction	Cell junction	6500	ACROSS Membrane
GO:0005914	spot adherens junction	Cell junction	6500	ACROSS Membrane
GO:0005923	tight junction	Cell junction	6500	ACROSS Membrane
GO:0005915	zonula adherens	Cell junction	6500	ACROSS Membrane
GO:0045171	intercellular bridge	Cell junction	6500	ACROSS Membrane
GO:0046581	intercellular canaliculus	Cell junction	6500	ACROSS Membrane
Cell junction	Cell junction	Cell junction	6500	ACROSS Membrane
desmosome	desmosome	Cell junction	6500	ACROSS Membrane
hemidesmosome	hemidesmosome	Cell junction	6500	ACROSS Membrane
septate junction	septate junction	Cell junction	6500	ACROSS Membrane
tight junction	tight junction	Cell junction	6500	ACROSS Membrane
adherens junction	adherens junction	Cell junction	6500	ACROSS Membrane
GO:0044450	microtubule organizing center part	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0031616	spindle pole centrosome	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0015630	microtubule cytoskeleton	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0005815	microtubule organizing center	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0005871	kinesin complex	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0005813	centrosome	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0030286	dynein complex	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0000930	gamma-tubulin complex	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0008274	gamma-tubulin ring complex	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0008275	gamma-tubulin small complex	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0016939	kinesin II complex	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0005875	microtubule associated complex	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0005828	kinetochore microtubule	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0005932	basal body	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0005868	cytoplasmic dynein complex	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0008352	katanin complex	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0045298	tubulin complex	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0009434	microtubule-based flagellum	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0005874	microtubule	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0005814	centriole	Microtubule cytoskeleton	6400	IN Cytoplasm
GO:0000242	pericentriolar material	Microtubule cytoskeleton	6400	IN Cytoplasm
centriolar satellite	centriolar satellite	Microtubule cytoskeleton	6400	IN Cytoplasm
centriole	centriole	Microtubule cytoskeleton	6400	IN Cytoplasm
centrosome	centrosome	Microtubule cytoskeleton	6400	IN Cytoplasm
spindle	spindle	Microtubule cytoskeleton	6400	IN Cytoplasm
spindle pole	spindle pole	Microtubule cytoskeleton	6400	IN Cytoplasm
spindle pole body	spindle pole body	Microtubule cytoskeleton	6400	IN Cytoplasm
microtubule organizing center	microtubule organizing center	Microtubule cytoskeleton 	6400	IN Cytoplasm
GO:0001725	stress fiber	Actin cytoskeleton	6200	IN Cytoplasm
GO:0005885	Arp2/3 protein complex	Actin cytoskeleton	6200	IN Cytoplasm
GO:0005869	dynactin complex	Actin cytoskeleton	6200	IN Cytoplasm
GO:0008290	F-actin capping protein complex	Actin cytoskeleton	6200	IN Cytoplasm
GO:0032982	myosin filament	Actin cytoskeleton	6200	IN Cytoplasm
GO:0016459	myosin complex	Actin cytoskeleton	6200	IN Cytoplasm
GO:0045160	myosin I complex	Actin cytoskeleton	6200	IN Cytoplasm
GO:0030482	actin cable	Actin cytoskeleton	6200	IN Cytoplasm
GO:0030478	actin cap	Actin cytoskeleton	6200	IN Cytoplasm
GO:0015629	actin cytoskeleton	Actin cytoskeleton	6200	IN Cytoplasm
GO:0005884	actin filament	Actin cytoskeleton	6200	IN Cytoplasm
GO:0042641	actomyosin	Actin cytoskeleton	6200	IN Cytoplasm
GO:0031941	filamentous actin	Actin cytoskeleton	6200	IN Cytoplasm
GO:0005925	focal adhesion	Cytoskeleton	6100	IN Cytoplasm
focal adhesion	focal adhesion	Cytoskeleton	6100	IN Cytoplasm
GO:0043034	costamere	Cytoskeleton	6100	IN Cytoplasm
GO:0044448	cell cortex part	Cytoskeleton	6100	IN Cytoplasm
GO:0005938	cell cortex	Cytoskeleton	6100	IN Cytoplasm
cell cortex	cell cortex	Cytoskeleton	6100	IN Cytoplasm
GO:0044430	cytoskeletal part	Cytoskeleton	6100	IN Cytoplasm
GO:0005873	plus-end kinesin complex	Cytoskeleton	6100	IN Cytoplasm
GO:0031258	lamellipodium membrane	Motile parts	5700	ACROSS Membrane
GO:0031260	pseudopodium membrane	Motile parts	5700	ACROSS Membrane
GO:0031527	filopodium membrane	Motile parts	5700	ACROSS Membrane
GO:0036194	muscle cell projection	Motile parts	5700	ACROSS Membrane
GO:0036195	muscle cell projection membrane	Motile parts	5700	ACROSS Membrane
GO:0044441	ciliary part	Motile parts	5700	ACROSS Membrane
GO:0044443	pilus part	Motile parts	5700	ACROSS Membrane
GO:0044463	cell projection part	Motile parts	5700	ACROSS Membrane
GO:0001726	ruffle	Motile parts	5700	ACROSS Membrane
flagellum membrane	flagellum membrane	Motile parts	5700	ACROSS Membrane
lamellipodium membrane	lamellipodium membrane	Motile parts	5700	ACROSS Membrane
ruffle membrane	ruffle membrane	Motile parts	5700	ACROSS Membrane
GO:0030175	filopodium	Motile parts	5700	ACROSS Membrane
GO:0031143	pseudopodium	Motile parts	5700	ACROSS Membrane
GO:0035086	flagellar axoneme	Motile parts	5700	ACROSS Membrane
GO:0005929	cilium	Motile parts	5700	ACROSS Membrane
GO:0035085	cilium axoneme	Motile parts	5700	ACROSS Membrane
GO:0030027	lamellipodium	Motile parts	5700	ACROSS Membrane
GO:0009288	flagellin-based flagellum	Motile parts	5700	ACROSS Membrane
cilium	cilium	Motile parts	5700	ACROSS Membrane
cilium axoneme	cilium axoneme	Motile parts	5700	ACROSS Membrane
cilium basal body	cilium basal body	Motile parts	5700	ACROSS Membrane
cilium membrane	cilium membrane	Motile parts	5700	ACROSS Membrane
filopodium	filopodium	Motile parts	5700	ACROSS Membrane
filopodium membrane	filopodium membrane	Motile parts	5700	ACROSS Membrane
filopodium tip	filopodium tip	Motile parts	5700	ACROSS Membrane
Flagellar pocket	Flagellar pocket	Motile parts	5700	ACROSS Membrane
flagellum	flagellum	Motile parts	5700	ACROSS Membrane
flagellum axoneme	flagellum axoneme	Motile parts	5700	ACROSS Membrane
flagellum basal body	flagellum basal body	Motile parts	5700	ACROSS Membrane
lamellipodium	lamellipodium	Motile parts	5700	ACROSS Membrane
podosome	podosome	Motile parts	5700	ACROSS Membrane
podosome membrane	podosome membrane	Motile parts	5700	ACROSS Membrane
ruffle	ruffle	Motile parts	5700	ACROSS Membrane
pseudopodium	pseudopodium	Motile parts	5700	ACROSS Membrane
pseudopodium membrane	pseudopodium membrane	Motile parts	5700	ACROSS Membrane
pseudopodium tip	pseudopodium tip	Motile parts	5700	ACROSS Membrane
uropodium	uropodium	Motile parts	5700	ACROSS Membrane
GO:0014704	intercalated disc	Sarcomere	5600	IN Cytoplasm
GO:0036379	myofilament	Sarcomere	5600	IN Cytoplasm
GO:0042642	"actomyosin, myosin complex part"	Sarcomere	5600	IN Cytoplasm
GO:0042643	"actomyosin, actin portion"	Sarcomere	5600	IN Cytoplasm
GO:0097513	myosin II filament	Sarcomere	5600	IN Cytoplasm
GO:0016460	myosin II complex	Sarcomere	5600	IN Cytoplasm
GO:0005862	muscle thin filament tropomyosin	Sarcomere	5600	IN Cytoplasm
GO:0031673	H zone	Sarcomere	5600	IN Cytoplasm
GO:0031672	A band	Sarcomere	5600	IN Cytoplasm
GO:0031674	I band	Sarcomere	5600	IN Cytoplasm
GO:0005859	muscle myosin complex	Sarcomere	5600	IN Cytoplasm
GO:0005861	troponin complex	Sarcomere	5600	IN Cytoplasm
GO:0031430	M line	Sarcomere	5600	IN Cytoplasm
GO:0030016	myofibril	Sarcomere	5600	IN Cytoplasm
GO:0030017	sarcomere	Sarcomere	5600	IN Cytoplasm
GO:0030485	smooth muscle contractile fiber	Sarcomere	5600	IN Cytoplasm
GO:0005863	striated muscle thick filament	Sarcomere	5600	IN Cytoplasm
GO:0005865	striated muscle thin filament	Sarcomere	5600	IN Cytoplasm
GO:0030018	Z disc	Sarcomere	5600	IN Cytoplasm
GO:0044449	Contractile fiber part	Sarcomere	5600	IN Cytoplasm
A band	A band	Sarcomere	5600	IN Cytoplasm
I band	I band	Sarcomere	5600	IN Cytoplasm
M line	M line	Sarcomere	5600	IN Cytoplasm
myofibril	myofibril	Sarcomere	5600	IN Cytoplasm
sarcomere	sarcomere	Sarcomere	5600	IN Cytoplasm
Z line	Z line	Sarcomere	5600	IN Cytoplasm
GO:0044455	mitochondrial membrane part	Mitochondrion MEMBRANE	5451	IN Cytoplasm
GO:0031314	extrinsic to mitochondrial inner membrane	Mitochondrion MEMBRANE	5451	IN Cytoplasm
GO:0031305	integral to mitochondrial inner membrane	Mitochondrion MEMBRANE	5451	IN Cytoplasm
GO:0031307	integral to mitochondrial outer membrane	Mitochondrion MEMBRANE	5451	IN Cytoplasm
GO:0031304	intrinsic to mitochondrial inner membrane	Mitochondrion MEMBRANE	5451	IN Cytoplasm
GO:0031306	intrinsic to mitochondrial outer membrane	Mitochondrion MEMBRANE	5451	IN Cytoplasm
GO:0005743	mitochondrial inner membrane	Mitochondrion MEMBRANE	5451	IN Cytoplasm
GO:0031966	mitochondrial membrane	Mitochondrion MEMBRANE	5451	IN Cytoplasm
GO:0005741	mitochondrial outer membrane	Mitochondrion MEMBRANE	5451	IN Cytoplasm
GO:0045273	respiratory chain complex II	Mitochondrion MEMBRANE	5451	IN Cytoplasm
GO:0045285	ubiquinol-cytochrome-c reductase complex	Mitochondrion MEMBRANE	5451	IN Cytoplasm
Mitochondrion envelope	Mitochondrion envelope	Mitochondrion MEMBRANE	5451	IN Cytoplasm
Mitochondrion inner membrane	Mitochondrion inner membrane	Mitochondrion MEMBRANE	5451	IN Cytoplasm
Mitochondrion intermembrane space	Mitochondrion intermembrane space	Mitochondrion MEMBRANE	5451	IN Cytoplasm
Mitochondrion membrane	Mitochondrion membrane	Mitochondrion MEMBRANE	5451	IN Cytoplasm
Mitochondrion outer membrane	Mitochondrion outer membrane	Mitochondrion MEMBRANE	5451	IN Cytoplasm
GO:0005760	gamma DNA polymerase complex	Mitochondrion	5220	IN Cytoplasm
GO:0000262	mitochondrial chromosome	Mitochondrion	5220	IN Cytoplasm
GO:0030061	mitochondrial crista	Mitochondrion	5220	IN Cytoplasm
